"","Samples","Nr_NA_before_gap","Nr_NA_after_gap","outlier_gaphunter","percent_outlier_gaphunter"
"1","200693480153_R01C01",0,0,0,0
"2","200693480153_R02C01",0,0,0,0
"3","200693480153_R03C01",0,0,0,0
"4","200693480153_R04C01",0,0,0,0
"5","200693480153_R05C01",0,0,0,0
"6","200693480153_R06C01",0,0,0,0
"7","200693480153_R07C01",0,0,0,0
"8","200693480153_R08C01",0,0,0,0
"9","200705360003_R01C01",0,2,2,0.000270139945999025
"10","200705360003_R02C01",0,0,0,0
"11","200705360003_R03C01",0,0,0,0
"12","200705360003_R04C01",0,0,0,0
"13","200705360003_R05C01",0,0,0,0
"14","200705360003_R06C01",0,0,0,0
"15","200705360003_R07C01",0,0,0,0
"16","200705360003_R08C01",0,1,1,0.000135069972999512
"17","200705360018_R01C01",0,0,0,0
"18","200705360018_R02C01",0,0,0,0
"19","200705360018_R03C01",0,0,0,0
"20","200705360018_R04C01",0,0,0,0
"21","200705360018_R05C01",0,0,0,0
"22","200705360018_R06C01",0,0,0,0
"23","200705360018_R07C01",0,0,0,0
"24","200705360018_R08C01",0,0,0,0
"25","200705360019_R01C01",0,0,0,0
"26","200705360019_R02C01",0,0,0,0
"27","200705360019_R03C01",0,0,0,0
"28","200705360019_R04C01",0,0,0,0
"29","200705360025_R01C01",0,0,0,0
"30","200705360025_R02C01",0,0,0,0
"31","200705360025_R03C01",0,0,0,0
"32","200705360025_R04C01",0,0,0,0
"33","200705360025_R05C01",0,0,0,0
"34","200705360025_R06C01",0,0,0,0
"35","200705360025_R07C01",0,0,0,0
"36","200705360025_R08C01",0,1,1,0.000135069972999512
"37","200705360032_R01C01",0,0,0,0
"38","200705360032_R02C01",0,0,0,0
"39","200705360032_R03C01",0,0,0,0
"40","200705360032_R04C01",0,0,0,0
"41","200705360032_R05C01",0,0,0,0
"42","200705360032_R06C01",0,0,0,0
"43","200705360032_R07C01",0,0,0,0
"44","200705360032_R08C01",0,0,0,0
"45","200705360035_R01C01",0,0,0,0
"46","200705360035_R02C01",0,0,0,0
"47","200705360035_R03C01",0,0,0,0
"48","200705360035_R04C01",0,0,0,0
"49","200705360035_R05C01",0,0,0,0
"50","200705360035_R06C01",0,0,0,0
"51","200705360035_R07C01",0,0,0,0
"52","200705360035_R08C01",0,1,1,0.000135069972999512
"53","200705360036_R01C01",0,0,0,0
"54","200705360036_R02C01",0,0,0,0
"55","200705360036_R03C01",0,0,0,0
"56","200705360036_R04C01",0,0,0,0
"57","200705360036_R05C01",0,0,0,0
"58","200705360036_R06C01",0,0,0,0
"59","200705360036_R07C01",0,0,0,0
"60","200705360036_R08C01",0,0,0,0
"61","200705360049_R01C01",0,0,0,0
"62","200705360049_R02C01",0,0,0,0
"63","200705360049_R03C01",0,0,0,0
"64","200705360049_R04C01",0,0,0,0
"65","200705360049_R05C01",0,0,0,0
"66","200705360049_R06C01",0,0,0,0
"67","200705360049_R07C01",0,0,0,0
"68","200705360049_R08C01",0,0,0,0
"69","200705360050_R01C01",0,0,0,0
"70","200705360050_R02C01",0,0,0,0
"71","200705360050_R03C01",0,0,0,0
"72","200705360050_R04C01",0,0,0,0
"73","200705360050_R05C01",0,0,0,0
"74","200705360050_R06C01",0,0,0,0
"75","200705360050_R07C01",0,0,0,0
"76","200705360050_R08C01",0,0,0,0
"77","200705360079_R01C01",0,0,0,0
"78","200705360079_R02C01",0,0,0,0
"79","200705360079_R03C01",0,0,0,0
"80","200705360079_R04C01",0,0,0,0
"81","200705360079_R05C01",0,0,0,0
"82","200705360079_R06C01",0,0,0,0
"83","200705360079_R07C01",0,0,0,0
"84","200705360079_R08C01",0,0,0,0
"85","200705360087_R01C01",0,0,0,0
"86","200705360087_R02C01",0,0,0,0
"87","200705360087_R03C01",0,0,0,0
"88","200705360087_R04C01",0,0,0,0
"89","200705360087_R05C01",0,0,0,0
"90","200705360087_R06C01",0,7,7,0.000945489810996587
"91","200705360087_R07C01",0,0,0,0
"92","200705360087_R08C01",0,0,0,0
"93","200705360106_R01C01",0,0,0,0
"94","200705360106_R02C01",0,0,0,0
"95","200705360106_R03C01",0,0,0,0
"96","200705360106_R04C01",0,0,0,0
"97","200705360106_R05C01",0,0,0,0
"98","200705360106_R06C01",0,0,0,0
"99","200705360106_R07C01",0,0,0,0
"100","200705360106_R08C01",0,0,0,0
"101","200705860062_R01C01",0,0,0,0
"102","200705860062_R02C01",0,0,0,0
"103","200705860062_R03C01",0,0,0,0
"104","200705860062_R04C01",0,0,0,0
"105","200705860062_R05C01",0,0,0,0
"106","200705860062_R06C01",0,0,0,0
"107","200705860062_R07C01",0,0,0,0
"108","200705860062_R08C01",0,1,1,0.000135069972999512
"109","200705860068_R01C01",0,0,0,0
"110","200705860068_R02C01",0,0,0,0
"111","200705860068_R03C01",0,0,0,0
"112","200705860068_R04C01",0,0,0,0
"113","200705860068_R05C01",0,0,0,0
"114","200705860068_R06C01",0,0,0,0
"115","200705860068_R07C01",0,0,0,0
"116","200705860068_R08C01",0,0,0,0
"117","200705860079_R01C01",0,0,0,0
"118","200705860079_R02C01",0,0,0,0
"119","200705860079_R03C01",0,0,0,0
"120","200705860079_R04C01",0,0,0,0
"121","200705860079_R05C01",0,0,0,0
"122","200705860079_R06C01",0,0,0,0
"123","200705860079_R07C01",0,0,0,0
"124","200705860079_R08C01",0,0,0,0
"125","200705940005_R01C01",0,0,0,0
"126","200705940005_R02C01",0,0,0,0
"127","200705940005_R03C01",0,0,0,0
"128","200705940005_R04C01",0,0,0,0
"129","200705940005_R05C01",0,0,0,0
"130","200705940005_R06C01",0,1,1,0.000135069972999512
"131","200705940005_R07C01",0,0,0,0
"132","200705940005_R08C01",0,0,0,0
"133","200705940035_R01C01",0,0,0,0
"134","200705940035_R02C01",0,0,0,0
"135","200705940035_R03C01",0,1,1,0.000135069972999512
"136","200705940035_R04C01",0,0,0,0
"137","200705940035_R05C01",0,0,0,0
"138","200705940035_R06C01",0,1,1,0.000135069972999512
"139","200705940035_R07C01",0,0,0,0
"140","200705940035_R08C01",0,0,0,0
"141","200705940043_R01C01",0,0,0,0
"142","200705940043_R02C01",0,0,0,0
"143","200705940043_R03C01",0,0,0,0
"144","200705940043_R04C01",0,0,0,0
"145","200705940043_R05C01",0,0,0,0
"146","200705940043_R06C01",0,0,0,0
"147","200705940043_R07C01",0,0,0,0
"148","200705940043_R08C01",0,0,0,0
"149","200705940062_R01C01",0,0,0,0
"150","200705940062_R02C01",0,0,0,0
"151","200705940062_R03C01",0,0,0,0
"152","200705940062_R04C01",0,0,0,0
"153","200705940062_R05C01",0,0,0,0
"154","200705940062_R07C01",0,0,0,0
"155","200705940062_R08C01",0,0,0,0
"156","200705940085_R01C01",0,0,0,0
"157","200705940085_R02C01",0,0,0,0
"158","200705940085_R03C01",0,0,0,0
"159","200705940085_R04C01",0,0,0,0
"160","200705940085_R05C01",0,0,0,0
"161","200705940085_R06C01",0,0,0,0
"162","200705940085_R07C01",0,0,0,0
"163","200705940085_R08C01",0,0,0,0
"164","200705940088_R01C01",0,0,0,0
"165","200705940088_R02C01",0,0,0,0
"166","200705940088_R03C01",0,0,0,0
